Rank	Title	Year	Director	Cast 1	Cast 2	Cast 3	Cast 4	Cast 5
46	Ben-Hur	1959	William Wyler	Charlton Heston	Jack Hawkins	Haya Harareet	Stephen Boyd	Hugh Griffith
47	Beverly Hills Cop	1984	Martin Brest	Eddie Murphy	Judge Reinhold	John Ashton	Lisa Eilbacher	Ronny Cox
48	Beverly Hills Cop II	1987	Tony Scott	Eddie Murphy	Judge Reinhold	Jürgen Prochnow	Ronny Cox	John Ashton
49	Bicycle Thieves	1948	Vittorio De Sica	Lamberto Maggiorani	Enzo Staiola	Lianella Carell	Gino Saltamerenda	Vittorio Antonucci
50	Big Daddy	1999	Dennis Dugan	Adam Sandler	Joey Lauren Adams	Jon Stewart	Cole Sprouse	Dylan Sprouse
51	Black Swan	2010	Darren Aronofsky	Natalie Portman	Mila Kunis	Vincent Cassel	Barbara Hershey	Winona Ryder
52	Blade Runner	1982	Ridley Scott	Harrison Ford	Rutger Hauer	Sean Young	Edward James Olmos	M. Emmet Walsh
53	Brave	2012	Mark Andrews	Kelly Macdonald	Billy Connolly	Emma Thompson	Julie Walters	Robbie Coltrane
54	Braveheart	1995	Mel Gibson	James Robinson	Sean Lawlor	Sandy Nelson	James Cosmo	Sean McGinley
55	Bridesmaids	2011	Paul Feig	Kristen Wiig	Terry Crews	Maya Rudolph	Tom Yi	Elaine Kao
56	Bringing Up Baby	1938	Howard Hawks	Katharine Hepburn	Cary Grant	Charles Ruggles	Walter Catlett	Barry Fitzgerald
57	Bruce Almighty	2003	Tom Shadyac	Jim Carrey	Morgan Freeman	Jennifer Aniston	Philip Baker Hall	Catherine Bell
58	Butch Cassidy and the Sundance Kid	1969	George Roy Hill	Paul Newman	Robert Redford	Katharine Ross	Strother Martin	Henry Jones
59	Captain America: The First Avenger	2011	Joe Johnston	Chris Evans	Hayley Atwell	Sebastian Stan	Tommy Lee Jones	Hugo Weaving
60	Cars	2006	John Lasseter	Owen Wilson	Paul Newman	Bonnie Hunt	Larry the Cable Guy	Cheech Marin
61	Cars 2	2011	John Lasseter	Larry the Cable Guy	Owen Wilson	Michael Caine	Emily Mortimer	Eddie Izzard
62	Casablanca	1942	Michael Curtiz	Humphrey Bogart	Ingrid Bergman	Paul Henreid	Claude Rains	Conrad Veidt
63	Casino	1995	Martin Scorsese	Robert De Niro	Sharon Stone	Joe Pesci	James Woods	Don Rickles
64	Casino Royale	2006	Martin Campbell	Daniel Craig	Eva Green	Mads Mikkelsen	Judi Dench	Jeffrey Wright
65	Cast Away	2000	Robert Zemeckis	Paul Sanchez	Lari White	Leonid Citer	David Allen Brooks	Yelena Popovic
66	Catch Me If You Can	2002	Steven Spielberg	Leonardo DiCaprio	Tom Hanks	Christopher Walken	Martin Sheen	Nathalie Baye
67	Charlie and the Chocolate Factory	2005	Tim Burton	Johnny Depp	Freddie Highmore	David Kelly	Helena Bonham Carter	Noah Taylor
68	Chicago	2002	Rob Marshall	Taye Diggs	Cliff Saunders	Catherine Zeta-Jones	Renée Zellweger	Dominic West
69	Chinatown	1974	Roman Polanski	Jack Nicholson	Faye Dunaway	John Huston	Perry Lopez	John Hillerman
70	Cinema Paradiso	1988	Giuseppe Tornatore	Antonella Attili	Enzo Cannavale	Isa Danieli	Leo Gullotta	Marco Leonardi
71	Citizen Kane	1941	Orson Welles	Joseph Cotten	Dorothy Comingore	Agnes Moorehead	Ruth Warrick	Ray Collins
72	City Lights	1931	Charles Chaplin	Virginia Cherrill	Florence Lee	Harry Myers	Al Ernest Garcia	Hank Mann
73	City of God	2002	Fernando Meirelles	Alexandre Rodrigues	Leandro Firmino	Phellipe Haagensen	Douglas Silva	Jonathan Haagensen
74	Clash of the Titans	2010	Louis Leterrier	Sam Worthington	Liam Neeson	Ralph Fiennes	Jason Flemyng	Gemma Arterton
75	Cool Hand Luke	1967	Stuart Rosenberg	Paul Newman	George Kennedy	J.D. Cannon	Lou Antonio	Robert Drivas
76	Crocodile Dundee	1986	Peter Faiman	Paul Hogan	Linda Kozlowski	John Meillon	David Gulpilil	Ritchie Singer
77	Dances with Wolves	1990	Kevin Costner	Kevin Costner	Mary McDonnell	Graham Greene	Rodney A. Grant	Floyd 'Red Crow' Westerman
78	Das Boot	1981	Wolfgang Petersen	Jürgen Prochnow	Herbert Grönemeyer	Klaus Wennemann	Hubertus Bengsch	Martin Semmelrogge
79	Despicable Me	2010	Pierre Coffin	Steve Carell	Jason Segel	Russell Brand	Julie Andrews	Will Arnett
80	Despicable Me 2	2013	Pierre Coffin	Steve Carell	Kristen Wiig	Benjamin Bratt	Miranda Cosgrove	Russell Brand
81	Diabolique	1955	Henri-Georges Clouzot	Simone Signoret	Véra Clouzot	Paul Meurisse	Charles Vanel	Jean Brochard
82	Dial M for Murder	1954	Alfred Hitchcock	Ray Milland	Grace Kelly	Robert Cummings	John Williams	Anthony Dawson
83	Die Another Day	2002	Lee Tamahori	Pierce Brosnan	Halle Berry	Toby Stephens	Rosamund Pike	Rick Yune
84	Die Hard	1988	John McTiernan	Bruce Willis	Bonnie Bedelia	Reginald VelJohnson	Paul Gleason	William Atherton
85	District 9	2009	Neill Blomkamp	Sharlto Copley	Jason Cope	Nathalie Boltt	Sylvaine Strike	Elizabeth Mkandawie
86	Django Unchained	2012	Quentin Tarantino	Jamie Foxx	Christoph Waltz	Leonardo DiCaprio	Kerry Washington	Samuel L. Jackson
87	Dog Day Afternoon	1975	Sidney Lumet	Penelope Allen	Sully Boyar	John Cazale	Beulah Garrick	Carol Kane
88	Donnie Darko	2001	Richard Kelly	Jake Gyllenhaal	Holmes Osborne	Maggie Gyllenhaal	Daveigh Chase	Mary McDonnell
89	Double Indemnity	1944	Billy Wilder	Fred MacMurray	Barbara Stanwyck	Edward G. Robinson	Porter Hall	Jean Heather
90	Downfall	2004	Oliver Hirschbiegel	Bruno Ganz	Alexandra Maria Lara	Corinna Harfouch	Ulrich Matthes	Juliane Köhler
91	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	Stanley Kubrick	Peter Sellers	George C. Scott	Sterling Hayden	Keenan Wynn	Slim Pickens
92	E.T. the Extra-Terrestrial	1982	Steven Spielberg	Dee Wallace	Henry Thomas	Peter Coyote	Robert MacNaughton	Drew Barrymore
93	Elf	2003	Jon Favreau	Will Ferrell	James Caan	Bob Newhart	Edward Asner	Mary Steenburgen
94	Eternal Sunshine of the Spotless Mind	2004	Michel Gondry	Jim Carrey	Kate Winslet	Gerry Robert Byrne	Elijah Wood	Thomas Jay Ryan
95	Fanny and Alexander	1982	Ingmar Bergman	Pernilla Allwin	Bertil Guve	Börje Ahlstedt	Allan Edwall	Ewa Fröling
96	Fantastic Four	2005	Tim Story	Ioan Gruffudd	Jessica Alba	Chris Evans	Michael Chiklis	Julian McMahon
97	Fargo	1996	Joel Coen	William H. Macy	Steve Buscemi	Peter Stormare	Kristin Rudrüd	Harve Presnell
98	Fast & Furious	2009	Justin Lin	Vin Diesel	Paul Walker	Jordana Brewster	Michelle Rodriguez	John Ortiz
99	Fast & Furious 6	2013	Justin Lin	Vin Diesel	Paul Walker	Dwayne Johnson	Jordana Brewster	Michelle Rodriguez
100	Fast Five	2011	Justin Lin	Vin Diesel	Paul Walker	Jordana Brewster	Tyrese Gibson	Ludacris
101	Fatal Attraction	1987	Adrian Lyne	Michael Douglas	Glenn Close	Anne Archer	Ellen Hamilton Latzen	Stuart Pankin
102	Fight Club	1999	David Fincher	Edward Norton	Brad Pitt	Helena Bonham Carter	Meat Loaf	Zach Grenier
103	Finding Nemo	2003	Andrew Stanton	Albert Brooks	Ellen DeGeneres	Alexander Gould	Willem Dafoe	Brad Garrett
104	For a Few Dollars More	1965	Sergio Leone	Clint Eastwood	Lee Van Cleef	Gian Maria Volonté	Mario Brega	Luigi Pistilli
105	Forrest Gump	1994	Robert Zemeckis	Tom Hanks	Rebecca Williams	Sally Field	Michael Conner Humphreys	Harold G. Herthum
106	Full Metal Jacket	1987	Stanley Kubrick	Matthew Modine	Adam Baldwin	Vincent D'Onofrio	R. Lee Ermey	Dorian Harewood
107	G.I. Joe: The Rise of Cobra	2009	Stephen Sommers	Adewale Akinnuoye-Agbaje	Christopher Eccleston	Grégory Fitoussi	Joseph Gordon-Levitt	Leo Howard
108	Gandhi	1982	Richard Attenborough	Ben Kingsley	Candice Bergen	Edward Fox	John Gielgud	Trevor Howard
109	Ghost	1990	Jerry Zucker	Patrick Swayze	Demi Moore	Tony Goldwyn	Stanley Lawrence	Christopher J. Keene
110	Ghostbusters	1984	Ivan Reitman	Bill Murray	Dan Aykroyd	Sigourney Weaver	Harold Ramis	Rick Moranis
111	Gladiator	2000	Ridley Scott	Russell Crowe	Joaquin Phoenix	Connie Nielsen	Oliver Reed	Richard Harris
112	Gone with the Wind	1939	Victor Fleming	Thomas Mitchell	Barbara O'Neil	Vivien Leigh	Evelyn Keyes	Ann Rutherford
113	Good Will Hunting	1997	Gus Van Sant	Matt Damon	Robin Williams	Ben Affleck	Stellan Skarsgård	Minnie Driver
114	Goodfellas	1990	Martin Scorsese	Robert De Niro	Ray Liotta	Joe Pesci	Lorraine Bracco	Paul Sorvino
115	Gran Torino	2008	Clint Eastwood	Clint Eastwood	Christopher Carley	Bee Vang	Ahney Her	Brian Haley
116	Grave of the Fireflies	1988	Isao Takahata	Tsutomu Tatsumi	Ayano Shiraishi	Yoshiko Shinohara	Akemi Yamaguchi	Rhoda Chrosite
117	Gravity	2013	Alfonso Cuarón	Sandra Bullock	George Clooney	Ed Harris	Orto Ignatiussen	Phaldut Sharma
118	Grease	1978	Randal Kleiser	John Travolta	Olivia Newton-John	Stockard Channing	Jeff Conaway	Barry Pearl
119	Groundhog Day	1993	Harold Ramis	Bill Murray	Andie MacDowell	Chris Elliott	Stephen Tobolowsky	Brian Doyle-Murray
120	Grown Ups	2010	Dennis Dugan	Adam Sandler	Kevin James	Chris Rock	David Spade	Rob Schneider
121	Hancock	2008	Peter Berg	Will Smith	Charlize Theron	Jason Bateman	Jae Head	Eddie Marsan
122	Hannibal	2001	Ridley Scott	Anthony Hopkins	Julianne Moore	Gary Oldman	Ray Liotta	Frankie Faison
123	Happy Feet	2006	George Miller	Carlos Alazraqui	Lombardo Boyar	Jeffrey Garcia	Johnny A. Sanchez	Robin Williams
124	Harry Potter and the Chamber of Secrets	2002	Chris Columbus	Daniel Radcliffe	Rupert Grint	Emma Watson	Richard Griffiths	Fiona Shaw
125	Harry Potter and the Deathly Hallows: Part 1	2010	David Yates	Bill Nighy	Emma Watson	Richard Griffiths	Harry Melling	Daniel Radcliffe
126	Harry Potter and the Deathly Hallows: Part 2	2011	David Yates	Ralph Fiennes	Michael Gambon	Alan Rickman	Daniel Radcliffe	Rupert Grint
127	Harry Potter and the Goblet of Fire	2005	Mike Newell	Eric Sykes	Timothy Spall	David Tennant	Daniel Radcliffe	Emma Watson
128	Harry Potter and the Half-Blood Prince	2009	David Yates	Daniel Radcliffe	Michael Gambon	Dave Legeno	Elarica Gallacher	Jim Broadbent
129	Harry Potter and the Order of the Phoenix	2007	David Yates	Daniel Radcliffe	Harry Melling	Jason Boyd	Richard Macklin	Kathryn Hunter
130	Harry Potter and the Prisoner of Azkaban	2004	Alfonso Cuarón	Daniel Radcliffe	Richard Griffiths	Pam Ferris	Fiona Shaw	Harry Melling
131	Harry Potter and the Sorcerer's Stone	2001	Chris Columbus	Richard Harris	Maggie Smith	Robbie Coltrane	Saunders Triplets	Daniel Radcliffe
132	Heat	1995	Michael Mann	Al Pacino	Robert De Niro	Val Kilmer	Jon Voight	Tom Sizemore
133	High Noon	1952	Fred Zinnemann	Gary Cooper	Thomas Mitchell	Lloyd Bridges	Katy Jurado	Grace Kelly
134	Hitch	2005	Andy Tennant	Will Smith	Eva Mendes	Kevin James	Amber Valletta	Julie Ann Emery
135	Home Alone	1990	Chris Columbus	Macaulay Culkin	Joe Pesci	Daniel Stern	John Heard	Roberts Blossom
136	Home Alone 2: Lost in New York	1992	Chris Columbus	Macaulay Culkin	Joe Pesci	Daniel Stern	Catherine O'Hara	John Heard
137	Horton Hears a Who!	2008	Jimmy Hayward	Jim Carrey	Steve Carell	Carol Burnett	Will Arnett	Seth Rogen
138	Hotel Rwanda	2004	Terry George	Xolani Mali	Don Cheadle	Desmond Dube	Hakeem Kae-Kazim	Tony Kgoroge
139	How the Grinch Stole Christmas	2000	Ron Howard	Jim Carrey	Taylor Momsen	Jeffrey Tambor	Christine Baranski	Bill Irwin
140	How to Train Your Dragon	2010	Dean DeBlois	Jay Baruchel	Gerard Butler	Craig Ferguson	America Ferrera	Jonah Hill
141	Howl's Moving Castle	2004	Hayao Miyazaki	Chieko Baishô	Takuya Kimura	Akihiro Miwa	Tatsuya Gashûin	Ryûnosuke Kamiki
142	I Am Legend	2007	Francis Lawrence	Will Smith	Alice Braga	Charlie Tahan	Salli Richardson-Whitfield	Willow Smith
143	Ice Age	2002	Chris Wedge	Ray Romano	John Leguizamo	Denis Leary	Goran Visnjic	Jack Black
144	Ice Age: Continental Drift	2012	Steve Martino	Aziz Ansari	Joy Behar	Christopher Campbell	Alain Chabat	Ester Dean
145	Ice Age: Dawn of the Dinosaurs	2009	Carlos Saldanha	Eunice Cho	Karen Disher	Harrison Fahn	Maile Flanagan	Jason Fricchione
146	Ice Age: The Meltdown	2006	Carlos Saldanha	Ray Romano	John Leguizamo	Denis Leary	Seann William Scott	Josh Peck
147	Ikiru	1952	Akira Kurosawa	Takashi Shimura	Shin'ichi Himori	Haruo Tanaka	Minoru Chiaki	Miki Odagiri
148	In the Name of the Father	1993	Jim Sheridan	Alison Crosbie	Daniel Day-Lewis	Philip King	Emma Thompson	Nye Heron
149	Incendies	2010	Denis Villeneuve	Mustafa Kamel	Hussein Sami	Rémy Girard	Mélissa Désormeaux-Poulin	Maxim Gaudette
150	Inception	2010	Christopher Nolan	Leonardo DiCaprio	Joseph Gordon-Levitt	Ellen Page	Tom Hardy	Ken Watanabe
151	Independence Day	1996	Roland Emmerich	Will Smith	Bill Pullman	Jeff Goldblum	Mary McDonnell	Judd Hirsch
152	Indiana Jones and the Kingdom of the Crystal Skull	2008	Steven Spielberg	Harrison Ford	Cate Blanchett	Karen Allen	Shia LaBeouf	Ray Winstone
153	Indiana Jones and the Last Crusade	1989	Steven Spielberg	Harrison Ford	Sean Connery	Denholm Elliott	Alison Doody	John Rhys-Davies
154	Indiana Jones and the Temple of Doom	1984	Steven Spielberg	Harrison Ford	Kate Capshaw	Jonathan Ke Quan	Amrish Puri	Roshan Seth
155	Infernal Affairs	2002	Wai-keung Lau	Andy Lau	Tony Leung Chiu Wai	Anthony Wong Chau-Sang	Eric Tsang	Kelly Chen
156	Inglourious Basterds	2009	Quentin Tarantino	Brad Pitt	Mélanie Laurent	Christoph Waltz	Eli Roth	Michael Fassbender
157	Into the Wild	2007	Sean Penn	Emile Hirsch	Marcia Gay Harden	William Hurt	Jena Malone	Brian H. Dierker
158	Ip Man	2008	Wilson Yip	Donnie Yen	Simon Yam	Ka Tung Lam	Siu-Wong Fan	Lynn Hung
159	Iron Man	2008	Jon Favreau	Robert Downey Jr.	Terrence Howard	Jeff Bridges	Gwyneth Paltrow	Leslie Bibb
160	Iron Man 2	2010	Jon Favreau	Robert Downey Jr.	Gwyneth Paltrow	Don Cheadle	Scarlett Johansson	Sam Rockwell
161	Iron Man 3	2013	Shane Black	Robert Downey Jr.	Gwyneth Paltrow	Don Cheadle	Guy Pearce	Rebecca Hall
162	It Happened One Night	1934	Frank Capra	Clark Gable	Claudette Colbert	Walter Connolly	Roscoe Karns	Jameson Thomas
163	It's a Wonderful Life	1946	Frank Capra	James Stewart	Donna Reed	Lionel Barrymore	Thomas Mitchell	Henry Travers
164	Jaws	1975	Steven Spielberg	Roy Scheider	Robert Shaw	Richard Dreyfuss	Lorraine Gary	Murray Hamilton
165	Jerry Maguire	1996	Cameron Crowe	Tom Cruise	Cuba Gooding Jr.	Renée Zellweger	Kelly Preston	Jerry O'Connell
166	Judgment at Nuremberg	1961	Stanley Kramer	Spencer Tracy	Burt Lancaster	Richard Widmark	Marlene Dietrich	Maximilian Schell
167	Jurassic Park	1993	Steven Spielberg	Sam Neill	Laura Dern	Jeff Goldblum	Richard Attenborough	Bob Peck
168	Jurassic Park III	2001	Joe Johnston	Sam Neill	William H. Macy	Téa Leoni	Alessandro Nivola	Trevor Morgan
169	Kill Bill: Vol. 1	2003	Quentin Tarantino	Uma Thurman	Lucy Liu	Vivica A. Fox	Daryl Hannah	David Carradine
170	King Kong	2005	Peter Jackson	Naomi Watts	Jack Black	Adrien Brody	Thomas Kretschmann	Colin Hanks
171	Kung Fu Panda	2008	Mark Osborne	Jack Black	Dustin Hoffman	Angelina Jolie	Ian McShane	Jackie Chan
172	Kung Fu Panda 2	2011	Jennifer Yuh	Jack Black	Angelina Jolie	Dustin Hoffman	Gary Oldman	Jackie Chan
173	L.A. Confidential	1997	Curtis Hanson	Kevin Spacey	Russell Crowe	Guy Pearce	James Cromwell	Kim Basinger
174	La Haine	1995	Mathieu Kassovitz	Vincent Cassel	Hubert Koundé	Saïd Taghmaoui	Abdel Ahmed Ghili	Solo
175	La Strada	1954	Federico Fellini	Anthony Quinn	Giulietta Masina	Richard Basehart	Aldo Silvani	Marcella Rovere
176	Lawrence of Arabia	1962	David Lean	Peter O'Toole	Alec Guinness	Anthony Quinn	Jack Hawkins	Omar Sharif
177	Les Misérables	2012	Tom Hooper	Hugh Jackman	Russell Crowe	Anne Hathaway	Amanda Seyfried	Sacha Baron Cohen
178	Liar Liar	1997	Tom Shadyac	Jim Carrey	Maura Tierney	Justin Cooper	Cary Elwes	Anne Haney
179	Life Is Beautiful	1997	Roberto Benigni	Roberto Benigni	Nicoletta Braschi	Giorgio Cantarini	Giustino Durano	Sergio Bini Bustric
180	Life of Brian	1979	Terry Jones	Graham Chapman	John Cleese	Terry Gilliam	Eric Idle	Terry Jones
181	Life of Pi	2012	Ang Lee	Suraj Sharma	Irrfan Khan	Ayush Tandon	Gautam Belur	Adil Hussain
182	Lincoln	2012	Steven Spielberg	Daniel Day-Lewis	Sally Field	David Strathairn	Joseph Gordon-Levitt	James Spader
183	Lock, Stock and Two Smoking Barrels	1998	Guy Ritchie	Jason Flemyng	Dexter Fletcher	Nick Moran	Jason Statham	Steven Mackintosh
184	Léon: The Professional	1994	Luc Besson	Jean Reno	Gary Oldman	Natalie Portman	Danny Aiello	Peter Appel
185	M	1931	Fritz Lang	Peter Lorre	Ellen Widmann	Inge Landgut	Otto Wernicke	Theodor Loos
186	Madagascar	2005	Eric Darnell	Ben Stiller	Chris Rock	David Schwimmer	Jada Pinkett Smith	Sacha Baron Cohen
187	Madagascar 3: Europe's Most Wanted	2012	Eric Darnell	Ben Stiller	Chris Rock	David Schwimmer	Jada Pinkett Smith	Sacha Baron Cohen
188	Madagascar: Escape 2 Africa	2008	Eric Darnell	Ben Stiller	Chris Rock	David Schwimmer	Jada Pinkett Smith	Sacha Baron Cohen
189	Magnolia	1999	Paul Thomas Anderson	Julianne Moore	William H. Macy	John C. Reilly	Tom Cruise	Philip Baker Hall
190	Man of Steel	2013	Zack Snyder	Henry Cavill	Amy Adams	Michael Shannon	Diane Lane	Russell Crowe
191	Mary and Max	2009	Adam Elliot	Toni Collette	Philip Seymour Hoffman	Barry Humphries	Eric Bana	Bethany Whitmore
192	Meet the Fockers	2004	Jay Roach	Robert De Niro	Ben Stiller	Dustin Hoffman	Barbra Streisand	Blythe Danner
193	Meet the Parents	2000	Jay Roach	Robert De Niro	Ben Stiller	Teri Polo	Blythe Danner	Nicole DeHuff
194	Memento	2000	Christopher Nolan	Guy Pearce	Carrie-Anne Moss	Joe Pantoliano	Mark Boone Junior	Russ Fega
195	Memories of Murder	2003	Joon-ho Bong	Kang-ho Song	Sang-kyung Kim	Roe-ha Kim	Jae-ho Song	Hie-bong Byeon
196	Men in Black	1997	Barry Sonnenfeld	Tommy Lee Jones	Will Smith	Linda Fiorentino	Vincent D'Onofrio	Rip Torn
197	Men in Black 3	2012	Barry Sonnenfeld	Will Smith	Tommy Lee Jones	Josh Brolin	Jemaine Clement	Emma Thompson
198	Men in Black II	2002	Barry Sonnenfeld	Tommy Lee Jones	Will Smith	Rip Torn	Lara Flynn Boyle	Johnny Knoxville
199	Metropolis	1927	Fritz Lang	Alfred Abel	Gustav Fröhlich	Rudolf Klein-Rogge	Fritz Rasp	Theodor Loos
200	Million Dollar Baby	2004	Clint Eastwood	Clint Eastwood	Hilary Swank	Morgan Freeman	Jay Baruchel	Mike Colter
201	Mission: Impossible	1996	Brian De Palma	Tom Cruise	Jon Voight	Emmanuelle Béart	Henry Czerny	Jean Reno
202	Mission: Impossible - Ghost Protocol	2011	Brad Bird	Tom Cruise	Paula Patton	Simon Pegg	Jeremy Renner	Michael Nyqvist
203	Mission: Impossible II	2000	John Woo	Tom Cruise	Dougray Scott	Thandie Newton	Ving Rhames	Richard Roxburgh
204	Modern Times	1936	Charles Chaplin	Charles Chaplin	Paulette Goddard	Henry Bergman	Tiny Sandford	Chester Conklin
205	Monsters University	2013	Dan Scanlon	Billy Crystal	John Goodman	Steve Buscemi	Helen Mirren	Peter Sohn
206	Monsters vs Aliens	2009	Rob Letterman	Reese Witherspoon	Seth Rogen	Hugh Laurie	Will Arnett	Kiefer Sutherland
207	Monsters, Inc.	2001	Pete Docter	John Goodman	Billy Crystal	Mary Gibbs	Steve Buscemi	James Coburn
208	Monty Python and the Holy Grail	1975	Terry Gilliam	Graham Chapman	John Cleese	Eric Idle	Terry Gilliam	Terry Jones
209	Mr. & Mrs. Smith	2005	Doug Liman	Brad Pitt	Angelina Jolie	Vince Vaughn	Adam Brody	Kerry Washington
210	Mr. Smith Goes to Washington	1939	Frank Capra	Jean Arthur	James Stewart	Claude Rains	Edward Arnold	Guy Kibbee
211	Mrs. Doubtfire	1993	Chris Columbus	Robin Williams	Sally Field	Pierce Brosnan	Harvey Fierstein	Polly Holliday
